,country,share_renewables_electricity_production
30,Algeria,0.974024484
61,Argentina,22.79109806
92,Australia,22.97536903
123,Belgium,27.19453327
154,Brazil,84.1006446
185,Canada,67.72302974
216,Chile,48.17795827
247,China,28.39562093
278,Colombia,64.76311847
309,Egypt,10.15248087
340,France,24.30269876
371,Germany,44.53262232
402,India,22.51975359
433,Indonesia,18.31361856
464,Iran,6.9366736
495,Italy,42.01458374
526,Japan,20.22647471
557,Kazakhstan,11.6508568
588,Malaysia,17.1501315
619,Mexico,20.47945821
650,Netherlands,24.78119222
681,New Zealand,80.02988022
712,Nigeria,19.21143844
743,Norway,98.37086423
774,Poland,16.67080675
805,Romania,44.16925872
836,Russia,20.30110701
867,South Africa,7.560695954
898,South Korea,7.073798163
929,Spain,43.91544261
960,Taiwan,5.958289711
991,Thailand,15.44948779
1022,Turkey,41.59850895
1053,Ukraine,8.359536157
1084,United Kingdom,43.73747467
1115,United States,19.79598008
1146,Venezuela,60.94418357
